sample_id,Zr,Zr_err,Sr,Sr_err,Rb,Rb_err,Zn,Zn_err,Mn,Mn_err,Ti,source,site,notes,verification_flag,paper,year,method,method_tier,units
1,284.0,6.0,121.0,4.0,96.0,3.0,34.0,7.0,334.0,41.0,969.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
2,258.0,5.0,108.0,3.0,87.0,3.0,33.0,6.0,307.0,34.0,1126.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
3,266.0,6.0,109.0,3.0,92.0,3.0,31.0,6.0,382.0,38.0,1212.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
4,261.0,6.0,105.0,3.0,84.0,3.0,33.0,6.0,315.0,36.0,1147.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
5,257.0,6.0,106.0,3.0,90.0,3.0,31.0,6.0,377.0,38.0,1139.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
6,255.0,6.0,101.0,3.0,85.0,3.0,29.0,6.0,320.0,37.0,1036.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
7,252.0,6.0,102.0,3.0,86.0,3.0,26.0,6.0,269.0,35.0,1067.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Mean,262.0,,107.0,,89.0,,31.0,,329.0,,1099.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
St_Dev,11.0,,7.0,,4.0,,3.0,,40.0,,81.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
%RSD,0.04,,0.06,,0.05,,0.09,,0.12,,0.07,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
