paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-364,ppm,Kenan Tepe artifacts grouped by assigned source,209.0,0.0,,1266.0,63.0,891.0,593.0,21152.0,182.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-379,ppm,Kenan Tepe artifacts grouped by assigned source,208.0,0.0,,1261.0,64.0,893.0,467.0,21227.0,188.0,,0.0,24.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-380,ppm,Kenan Tepe artifacts grouped by assigned source,221.0,0.0,,1323.0,69.0,937.0,539.0,22526.0,196.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-384,ppm,Kenan Tepe artifacts grouped by assigned source,213.0,0.0,,1307.0,67.0,889.0,616.0,21682.0,191.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-386,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1281.0,65.0,913.0,528.0,21564.0,190.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-387,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1271.0,65.0,891.0,426.0,21287.0,189.0,,0.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-394,ppm,Kenan Tepe artifacts grouped by assigned source,211.0,0.0,,1267.0,65.0,876.0,509.0,20334.0,186.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-395,ppm,Kenan Tepe artifacts grouped by assigned source,204.0,0.0,,1258.0,64.0,888.0,570.0,21000.0,178.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-399,ppm,Kenan Tepe artifacts grouped by assigned source,207.0,0.0,,1260.0,66.0,867.0,552.0,21123.0,200.0,,0.0,31.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-401,ppm,Kenan Tepe artifacts grouped by assigned source,236.0,0.0,,1393.0,71.0,1001.0,497.0,23998.0,210.0,,0.0,31.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-402,ppm,Kenan Tepe artifacts grouped by assigned source,223.0,0.0,,1327.0,71.0,936.0,488.0,23159.0,198.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-411,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1244.0,65.0,845.0,622.0,20887.0,187.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-414,ppm,Kenan Tepe artifacts grouped by assigned source,213.0,0.0,,1298.0,66.0,895.0,464.0,21749.0,196.0,,0.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-423,ppm,Kenan Tepe artifacts grouped by assigned source,210.0,0.0,,1265.0,65.0,843.0,553.0,21453.0,188.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-432,ppm,Kenan Tepe artifacts grouped by assigned source,204.0,0.0,,1226.0,63.0,860.0,580.0,20517.0,184.0,,120.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-433,ppm,Kenan Tepe artifacts grouped by assigned source,199.0,0.0,,1239.0,65.0,871.0,560.0,20510.0,192.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-434,ppm,Kenan Tepe artifacts grouped by assigned source,202.0,0.0,,1230.0,65.0,815.0,510.0,20310.0,173.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-435,ppm,Kenan Tepe artifacts grouped by assigned source,206.0,0.0,,1270.0,68.0,842.0,501.0,21450.0,195.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-440,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1259.0,63.0,833.0,466.0,21246.0,184.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-442,ppm,Kenan Tepe artifacts grouped by assigned source,216.0,0.0,,1299.0,69.0,875.0,471.0,21615.0,192.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-447,ppm,Kenan Tepe artifacts grouped by assigned source,267.5737030651847,0.5426082871305686,117.0,1350.428855887689,54.89753540146767,934.2296565883166,585.4730825526105,25568.83656686704,225.56839670143412,,77.96971745284837,45.144164602503984,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-455,ppm,Kenan Tepe artifacts grouped by assigned source,233.0,0.0,,1350.0,72.0,1025.0,430.0,24027.0,212.0,,0.0,36.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-456,ppm,Kenan Tepe artifacts grouped by assigned source,214.0,0.0,,1283.0,65.0,906.0,489.0,21805.0,182.0,,0.0,24.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-457,ppm,Kenan Tepe artifacts grouped by assigned source,205.0,0.0,,1266.0,64.0,816.0,551.0,21103.0,181.0,,0.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-458,ppm,Kenan Tepe artifacts grouped by assigned source,214.0,0.0,,1271.0,64.0,912.0,531.0,20952.0,186.0,,0.0,33.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-459,ppm,Kenan Tepe artifacts grouped by assigned source,217.0,0.0,,1301.0,69.0,832.0,600.0,21329.0,185.0,,74.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-461,ppm,Kenan Tepe artifacts grouped by assigned source,213.0,0.0,,1289.0,65.0,912.0,513.0,21483.0,179.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-462,ppm,Kenan Tepe artifacts grouped by assigned source,211.0,0.0,,1306.0,64.0,915.0,534.0,21214.0,186.0,,0.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-464,ppm,Kenan Tepe artifacts grouped by assigned source,202.0,0.0,,1256.0,65.0,851.0,617.0,20956.0,192.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-469,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1251.0,64.0,891.0,675.0,20757.0,183.0,,149.0,23.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-470,ppm,Kenan Tepe artifacts grouped by assigned source,206.0,0.0,,1241.0,63.0,882.0,643.0,20432.0,211.0,,113.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-472,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1299.0,67.0,851.0,505.0,21285.0,203.0,,0.0,28.0,
