object_id,site,locus,basket,n_readings,sides,ungroupable,Rb_ppm,Zr_ppm,Nb_ppm,Fe_ppm,Ti_ppm,Mn_ppm,Rb_Zr,Rb_Nb,Zr_Nb,worst_disagreement_fold,agree_score,cover_score,dirt_score,bal_score,n_score,notes,quality,quality_band
motza | 4050 | 41005b,motza,4050,41005b,2,dorsal+ventral,False,95.0,65.0,20.0,7255.0,405.0,140.0,1.4642857142857142,4.75,3.25,1.1666666666666667,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4050 | 41019,motza,4050,41019,2,dorsal+ventral,False,90.0,70.0,20.0,5960.0,340.0,175.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 4050 | 41021,motza,4050,41021,2,dorsal+ventral,False,90.0,60.0,20.0,6655.0,445.0,180.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.3,0.5,1.0,1.0,,0.75,high
motza | 4050 | 41024,motza,4050,41024,2,dorsal+ventral,False,85.0,65.0,20.0,7410.0,790.0,100.0,1.3214285714285712,4.25,3.25,1.1666666666666667,1.0,0.8,0.3,0.6000000000000001,1.0,,0.785,high
motza | 4050 | 41024a,motza,4050,41024a,2,dorsal+ventral,False,85.0,60.0,20.0,7150.0,630.0,125.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.6,0.4,0.8,1.0,,0.78,high
motza | 4050 | 41024b,motza,4050,41024b,2,dorsal+ventral,False,95.0,75.0,25.0,9745.0,1080.0,140.0,1.2767857142857144,3.916666666666667,3.166666666666667,1.1428571428571428,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4050 | 41024c,motza,4050,41024c,2,dorsal+ventral,False,100.0,70.0,25.0,8875.0,930.0000000000001,165.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41031a,motza,4050,41031a,2,dorsal+ventral,False,90.0,65.0,20.0,5845.0,330.0,125.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4050 | 41031b,motza,4050,41031b,2,dorsal+ventral,False,95.0,70.0,20.0,6605.0,375.0,185.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 41031c,motza,4050,41031c,2,dorsal+ventral,False,90.0,60.0,20.0,6365.0,400.0,140.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.8,0.4,0.8,1.0,,0.8300000000000001,high
motza | 4050 | 41037,motza,4050,41037,6,dorsal+ventral,False,90.0,60.0,20.0,6820.0,570.0,220.0,1.4285714285714286,4.0,3.0,1.25,1.0,0.49999999999999994,0.4666666666666666,0.8333333333333334,1.0,,0.7699999999999999,high
motza | 4050 | 41042,motza,4050,41042,2,dorsal+ventral,False,100.0,70.0,25.0,10345.0,1460.0,255.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 4050 | 41042a,motza,4050,41042a,2,dorsal+ventral,False,95.0,75.0,25.0,8755.0,945.0,165.0,1.2678571428571428,3.916666666666667,3.083333333333333,1.1428571428571428,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 41042b,motza,4050,41042b,2,dorsal+ventral,False,110.0,80.0,30.0,9820.0,950.0,275.0,1.375,3.6666666666666665,2.6666666666666665,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41047,motza,4050,41047,2,dorsal+ventral,False,115.0,75.0,30.0,9825.0,825.0,290.0,1.5357142857142856,3.833333333333333,2.5,1.1428571428571428,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 4050 | 41053a,motza,4050,41053a,4,dorsal+ventral,False,90.0,65.0,20.0,6710.0,445.0,180.0,1.380952380952381,4.0,3.0,1.375,0.7,0.6499999999999999,0.5,1.0,1.0,,0.7324999999999999,medium
motza | 4050 | 41053b,motza,4050,41053b,4,dorsal+ventral,False,80.0,60.0,20.0,5960.0,385.0,170.0,1.3333333333333333,4.0,3.0,1.1666666666666667,1.0,0.8,0.5,0.95,1.0,,0.8674999999999999,high
motza | 4050 | 41055,motza,4050,41055,2,dorsal+ventral,False,80.0,60.0,20.0,5620.0,345.0,,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
