Reference number,Sample note,Source,Al,Si,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
kn-066,,Nemrut Dağ,69991.0,355527.0,35659.0,2986.0,862.0,622.0,19997.0,175.0,200.0,0.0,,1238.0,64.0,143.0,32.0,NemrutDag,kn-066,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-070,,Nemrut Dağ,69595.0,357436.0,36815.0,2838.0,879.0,447.0,21406.0,189.0,207.0,0.0,,1280.0,66.0,0.0,31.0,NemrutDag,kn-070,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-074,,Nemrut Dağ,68960.0,352980.0,36200.0,3232.0,826.0,641.0,20735.0,191.0,208.0,0.0,,1242.0,66.0,121.0,34.0,NemrutDag,kn-074,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-075,,Nemrut Dağ,69045.0,360858.0,35110.0,2874.0,837.0,485.0,20209.0,170.0,199.0,0.0,,1230.0,63.0,0.0,26.0,NemrutDag,kn-075,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-078,,Nemrut Dağ,69659.0,355265.0,36044.0,3109.0,857.0,480.0,20727.0,183.0,207.0,0.0,,1250.0,64.0,0.0,28.0,NemrutDag,kn-078,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-081,,Nemrut Dağ,68096.0,352018.0,35047.0,4848.0,871.0,538.0,20881.0,176.0,203.0,0.0,,1255.0,66.0,0.0,26.0,NemrutDag,kn-081,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-082,,Nemrut Dağ,72645.0,369010.0,37229.0,2741.0,860.0,488.0,21468.0,185.0,210.0,0.0,,1276.0,66.0,0.0,26.0,NemrutDag,kn-082,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-086,,Nemrut Dağ,68504.0,353415.0,34499.0,4157.0,883.0,560.0,20558.0,178.0,202.0,0.0,,1255.0,62.0,0.0,30.0,NemrutDag,kn-086,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-087,,Nemrut Dağ,69041.0,356762.0,36509.0,3091.0,857.0,574.0,21235.0,191.0,208.0,0.0,,1254.0,65.0,0.0,28.0,NemrutDag,kn-087,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-089,,Nemrut Dağ,70531.0,346500.0,47443.0,3428.0,853.0,479.0,20576.0,191.0,203.0,0.0,,1262.0,66.0,0.0,27.0,NemrutDag,kn-089,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-094,,Nemrut Dağ,68333.0,344635.0,38693.0,3520.0,835.0,608.0,20210.0,192.0,205.0,0.0,,1231.0,63.0,102.0,28.0,NemrutDag,kn-094,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-095,,Nemrut Dağ,70001.0,361276.0,36247.0,2994.0,848.0,551.0,21184.0,192.0,211.0,0.0,,1259.0,64.0,0.0,30.0,NemrutDag,kn-095,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-102,,Nemrut Dağ,67775.0,347084.0,35208.0,3628.0,871.0,521.0,20326.0,199.0,199.0,0.0,,1234.0,63.0,115.0,29.0,NemrutDag,kn-102,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-104,,Nemrut Dağ,72453.0,363137.0,35806.0,2898.0,881.0,664.0,21056.0,186.0,204.0,0.0,,1272.0,66.0,106.0,35.0,NemrutDag,kn-104,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-111,,Nemrut Dağ,72519.0,374819.0,36448.0,2777.0,1003.0,460.0,25825.0,228.0,265.0,0.0,,1401.0,70.0,0.0,41.0,NemrutDag,kn-111,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-114,,Nemrut Dağ,69467.0,360020.0,34616.0,2782.0,823.0,531.0,20196.0,174.0,207.0,0.0,,1264.0,64.0,0.0,30.0,NemrutDag,kn-114,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-115,,Nemrut Dağ,71415.0,362120.0,33739.0,2790.0,832.0,522.0,19260.0,172.0,195.0,0.0,,1203.0,64.0,0.0,23.0,NemrutDag,kn-115,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-116,,Nemrut Dağ,73004.0,366991.0,39533.0,3036.0,912.0,508.0,22084.0,202.0,214.0,0.0,,1311.0,65.0,0.0,32.0,NemrutDag,kn-116,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-121,,Nemrut Dağ,74010.0,369603.0,39393.0,3211.0,931.0,584.0,22994.0,199.0,224.0,0.0,,1347.0,68.0,0.0,32.0,NemrutDag,kn-121,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-122,,Nemrut Dağ,74644.0,376504.0,42089.0,3106.0,992.0,502.0,24026.0,229.0,224.0,0.0,,1338.0,66.0,0.0,30.0,NemrutDag,kn-122,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-127,,Nemrut Dağ,69077.0,356371.0,36268.0,3106.0,872.0,481.0,20728.0,178.0,208.0,0.0,,1251.0,64.0,0.0,28.0,NemrutDag,kn-127,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-128,,Nemrut Dağ,71187.0,358349.0,46425.0,2902.0,875.0,488.0,21245.0,176.0,206.0,0.0,,1278.0,65.0,0.0,29.0,NemrutDag,kn-128,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-129,,Nemrut Dağ,70078.0,361887.0,37630.0,3348.0,892.0,460.0,22133.0,197.0,216.0,0.0,,1316.0,69.0,0.0,26.0,NemrutDag,kn-129,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-130,,Nemrut Dağ,74435.0,373043.0,43918.0,3340.0,969.0,471.0,23258.0,204.0,228.0,0.0,,1336.0,69.0,0.0,27.0,NemrutDag,kn-130,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-135,,Nemrut Dağ,69952.0,361633.0,39040.0,2998.0,869.0,538.0,22255.0,191.0,214.0,0.0,,1311.0,67.0,0.0,31.0,NemrutDag,kn-135,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-140,,Nemrut Dağ,71633.0,361909.0,36289.0,2981.0,890.0,591.0,20875.0,198.0,205.0,0.0,,1260.0,67.0,73.0,26.0,NemrutDag,kn-140,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-147,,Nemrut Dağ,69440.0,354581.0,34213.0,2789.0,810.0,587.0,20178.0,195.0,201.0,0.0,,1244.0,63.0,0.0,29.0,NemrutDag,kn-147,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-151,,Nemrut Dağ,73034.0,370054.0,39115.0,3017.0,857.0,475.0,21325.0,192.0,211.0,0.0,,1282.0,66.0,0.0,29.0,NemrutDag,kn-151,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-154,,Nemrut Dağ,72445.0,366676.0,38826.0,8661.0,949.0,448.0,23108.0,190.0,224.0,0.0,,1331.0,69.0,0.0,29.0,NemrutDag,kn-154,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-155,,Nemrut Dağ,69378.0,353278.0,35069.0,3803.0,880.0,491.0,20864.0,188.0,202.0,0.0,,1237.0,62.0,0.0,28.0,NemrutDag,kn-155,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-156,,Nemrut Dağ,70190.0,361393.0,39540.0,3792.0,917.0,521.0,21202.0,183.0,199.0,0.0,,1260.0,64.0,0.0,26.0,NemrutDag,kn-156,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-158,,Nemrut Dağ,69177.0,355935.0,36214.0,3043.0,848.0,568.0,20973.0,181.0,208.0,0.0,,1234.0,64.0,0.0,33.0,NemrutDag,kn-158,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-159,,Nemrut Dağ,71428.0,360246.0,36529.0,2893.0,814.0,509.0,21125.0,190.0,207.0,0.0,,1255.0,66.0,0.0,31.0,NemrutDag,kn-159,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-161,,Nemrut Dağ,74473.0,375588.0,39328.0,3012.0,920.0,436.0,21810.0,188.0,216.0,0.0,,1295.0,66.0,0.0,28.0,NemrutDag,kn-161,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-162,,Nemrut Dağ,70711.0,353458.0,39417.0,3665.0,866.0,486.0,21234.0,185.0,206.0,0.0,,1256.0,64.0,0.0,32.0,NemrutDag,kn-162,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-165,,Nemrut Dağ,70500.0,357500.0,44798.0,2956.0,845.0,456.0,21938.0,190.0,211.0,0.0,,1292.0,66.0,0.0,25.0,NemrutDag,kn-165,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-166,,Nemrut Dağ,71698.0,365890.0,38873.0,2868.0,931.0,465.0,21831.0,189.0,214.0,0.0,,1293.0,68.0,0.0,31.0,NemrutDag,kn-166,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-167,,Nemrut Dağ,67255.0,349705.0,39991.0,2965.0,858.0,583.0,21251.0,192.0,206.0,0.0,,1261.0,64.0,0.0,28.0,NemrutDag,kn-167,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-168,,Nemrut Dağ,71205.0,360122.0,37889.0,2899.0,875.0,437.0,21438.0,192.0,208.0,0.0,,1266.0,66.0,0.0,23.0,NemrutDag,kn-168,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-170,,Nemrut Dağ,72304.0,364496.0,34986.0,2907.0,822.0,584.0,20494.0,184.0,200.0,0.0,,1252.0,64.0,0.0,31.0,NemrutDag,kn-170,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-171,,Nemrut Dağ,70025.0,357507.0,36315.0,2826.0,860.0,571.0,21223.0,192.0,209.0,0.0,,1255.0,64.0,0.0,24.0,NemrutDag,kn-171,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-172,,Nemrut Dağ,72088.0,367681.0,35830.0,2765.0,845.0,609.0,20246.0,169.0,202.0,0.0,,1244.0,64.0,0.0,33.0,NemrutDag,kn-172,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-175,,Nemrut Dağ,68705.0,352438.0,36993.0,2947.0,864.0,458.0,21704.0,197.0,212.0,0.0,,1276.0,67.0,0.0,29.0,NemrutDag,kn-175,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-177,mean of 2 readings,Nemrut Dağ,69640.0,356189.0,38898.0,3241.0,964.0,484.0,21726.0,188.0,217.0,0.0,,1296.0,67.0,0.0,25.0,NemrutDag,kn-177,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
