Unnamed: 0,Ti,Mn,Fe,Zn,Ga,Rb,Sr,Y,Zr,Nb,Ba,Pb,Th,Source,Unnamed: 15,Unnamed: 16,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
KT.058,1413.0,634.0,30096.0,208.0,35.0,270.0,,134.0,1273.0,60.0,,84.0,35.0,Bingöl,A,,Bingol,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.059,1384.0,533.0,28785.0,228.0,31.0,297.0,6.0,150.0,1432.0,66.0,,106.0,36.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.061,1294.0,573.0,27381.0,201.0,31.0,230.0,3.0,116.0,1123.0,57.0,,69.0,29.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.062,1411.0,612.0,31248.0,254.0,36.0,252.0,5.0,127.0,1200.0,60.0,,73.0,34.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.065,1398.0,655.0,32141.0,216.0,37.0,263.0,5.0,128.0,1214.0,60.0,,80.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.073,1334.0,647.0,30679.0,205.0,34.0,253.0,5.0,121.0,1199.0,64.0,,79.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.074,1551.0,579.0,32788.0,267.0,39.0,294.0,6.0,139.0,1410.0,66.0,,98.0,37.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.080,1365.0,573.0,28811.0,192.0,35.0,238.0,4.0,125.0,1188.0,52.0,,69.0,28.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.083,1273.0,525.0,27513.0,241.0,29.0,284.0,6.0,144.0,1383.0,77.0,,97.0,40.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.086,1291.0,555.0,26769.0,188.0,36.0,219.0,4.0,110.0,1082.0,52.0,,64.0,24.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
