Source,sample_id,Nb,Zr,Sr,Rb,Fe,source,site,notes,verification_flag,paper,year,method,method_tier,units
Hasan Daǧ,ca28p4,13.242078,43.934625,74.86994600000001,133.41534299999998,5080.914606,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca28p5,14.556654000000004,41.869125,73.978258,134.18859799999998,5148.633512999999,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca28r1b,13.488561,40.836375,78.34116,136.331619,5055.598037,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p1a,12.411339000000002,35.6625,70.88919600000001,122.61186599999998,4865.356812999999,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p2a,13.452045000000002,38.730375,76.74886000000001,135.55836399999998,5039.774324,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p3a,12.265275,46.557,78.834773,126.94209399999998,5086.628153,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p4,13.972398000000002,44.55225,78.787004,128.356046,5274.72251,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p5a,15.706908000000002,44.319375,73.93048900000001,134.27696999999998,4972.871638,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29p6,10.11996,42.24375,77.688317,130.454881,5143.091441,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29r1,11.142408,36.381375,74.53556300000001,127.11883799999998,5076.751193,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca29r2,13.169046000000002,42.16275,75.490943,135.889759,5129.771263,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca30p1,13.123401,43.934625,73.56426,127.27348899999998,5172.207896,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca30p2,13.205562,43.803,74.8381,130.87464799999998,5143.941956999999,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca30p4,13.169046000000002,42.60825,73.64387500000001,134.453714,5016.055902,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca30p5,12.67608,49.037625,77.736086,133.481622,5343.737768,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca30r1b,14.520138,43.225875,74.901792,134.343249,5073.801823,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca31p1,12.721725,46.425375,75.15656000000001,134.69673699999998,5144.476959,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca31p2,12.201372,42.314625,73.89864299999999,124.07000399999998,4890.145239,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca31r1,14.273655000000002,42.9525,74.631101,134.82929499999997,5001.768604999999,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,13.092971000000002,42.51953571428572,75.19750485714286,131.5027204285714,5091.955309666666,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea39r3a,27.419415000000004,203.828625,8.232191,143.02579799999998,6893.803178,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r1,26.990352,195.708375,9.71303,138.054873,7136.001327,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r2b,25.109778,195.607125,12.388094,141.34672999999998,6874.213874,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r3b,25.319745,195.5565,10.970947,135.978131,6991.125528999999,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r3c,26.880804000000005,198.766125,8.582497,135.116504,6943.530927999999,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r3e,29.948148,205.549875,11.162023,140.48510299999998,7188.033700999999,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r4a,26.862546,196.34625,9.824491,136.04441,7052.726208,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r4b,27.090771,198.604125,9.219417,139.42463899999998,7207.890506,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r4c,30.696726,202.725,11.607867,138.45254699999998,7317.346428,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r4d,29.354763,206.420625,11.607867,139.62347599999998,7118.524594999999,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Arpaçay,ea40r4e,28.597056,201.12525,9.585646,138.18743099999998,6993.347844999999,KarsArpacay,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,27.66091854545455,200.021625,10.263097272727272,138.70360381818182,7065.140374454545,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36p2,17.094516000000002,176.30887499999997,137.97279500000002,109.86420499999998,7924.964661,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36p3,15.980778,166.50787499999998,137.60656600000002,108.80374099999996,7898.612383,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36p4a,17.112774,164.543625,139.071482,109.35606599999998,7949.890266999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r1,17.112774,163.571625,137.43141300000002,107.566533,7899.997900999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r2,16.081197000000003,174.07124999999996,135.393269,110.526995,8057.521694999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r3a,13.570722000000002,178.7895,138.768945,113.13396899999998,7974.520936,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r3b,14.967459000000002,164.62462499999998,138.418639,113.95141,7867.342202,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r3c,16.428099,170.79075,133.307356,112.84676,8069.915908,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
