sample_id,Ba,Ti,Mn,Fe,Co,Ni,Cu,Zn,Ga,Pb,Th,Rb,Sr,Y,Zr,Nb,Museum ID,Site,"Date of
Analysis",Cortex,Length,Width,Thick,Source,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
JMA14 NM33 ,752,379,491,10891,4,7,8,55,17,25,10,121,109,18,105,8,10347,Tsikniadhes ,2014-08-04 00:00:00,0,6.74,1.09,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM34 ,675,407,444,10209,4,6,8,31,15,21,10,121,110,17,108,10,10348,Tsikniadhes ,2014-08-04 00:00:00,0,1.36,1.44,0.9,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM35 ,629,400,480,9562,4,6,7,43,16,26,13,120,106,18,110,9,10349,Tsikniadhes ,2014-08-04 00:00:00,0,9.56,1.63,0.48,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM36 ,708,469,401,11121,5,6,8,37,16,23,11,130,106,19,112,9,10350,Tsikniadhes ,2014-08-04 00:00:00,0,7.63,1.09,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM37 ,668,396,436,9797,4,6,7,33,15,23,9,118,101,19,110,7,10351,Tsikniadhes ,2014-08-04 00:00:00,0,9.43,1.15,0.28,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM38 ,675,502,445,11167,5,6,8,39,16,25,8,130,108,19,111,10,10352,Tsikniadhes ,2014-08-04 00:00:00,0,- ,- ,- ,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM39 ,637,559,514,10103,4,6,7,40,15,25,15,117,105,20,111,10,10353,Tsikniadhes ,2014-08-04 00:00:00,0,9.44,1.22,0.4,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM40 ,689,784,535,11914,5,6,8,47,15,20,11,95,112,21,112,9,10354,Tsikniadhes ,2014-08-04 00:00:00,90,1.95,1.29,0.76,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM41 ,704,463,371,9716,4,7,8,61,19,24,9,122,102,17,98,8,10355α ,Tsikniadhes ,2014-08-04 00:00:00,- ,- ,- ,- ,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM42 ,733,277,548,9835,4,6,7,43,16,20,8,121,104,19,106,8,10355β ,Tsikniadhes ,2014-08-04 00:00:00,10,3.32,1.21,0.2,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM43 ,683,498,521,10142,4,6,8,29,15,22,11,120,101,17,114,9,10356α ,Tsikniadhes ,2014-08-04 00:00:00,0,8.97,1.46,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM44 ,731,1065,559,8214,4,7,8,39,16,20,8,101,90,20,94,10,10356β ,Tsikniadhes ,2014-08-04 00:00:00,0,1.6,1.25,0.3,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM45 ,704,406,348,11267,5,7,10,53,17,25,10,127,102,19,95,9,10356γ ,Tsikniadhes ,2014-08-04 00:00:00,0,1.76,0.59,0.18,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM46 ,634,739,451,9747,4,6,8,25,15,18,11,112,94,17,98,7,10357,Tsikniadhes ,2014-08-04 00:00:00,40,1.8,0.77,0.48,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM47 ,687,393,648,11698,5,7,8,51,16,24,11,126,115,20,114,9,10358,Tsikniadhes ,2014-08-05 00:00:00,0,3.46,1.31,0.27,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM48 ,620,557,616,11255,5,7,9,54,17,24,13,138,102,17,109,9,10359,Tsikniadhes ,2014-08-05 00:00:00,0,3.79,1.01,0.21,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM49 ,690,604,546,11570,5,6,7,47,15,23,11,111,111,18,113,7,10360α ,Tsikniadhes ,2014-08-05 00:00:00,0,2.19,1.56,0.57,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM50 ,698,370,401,9427,4,6,8,43,16,27,11,113,94,16,97,9,10360β ,Tsikniadhes ,2014-08-05 00:00:00,0,2.36,broken ,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM51 ,787,363,483,10187,5,6,7,39,15,23,11,118,108,18,105,8,10361α ,Tsikniadhes ,2014-08-05 00:00:00,0,1.56,0.92,0.2,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
