source,method_tier,tier_label,n_samples,papers,Rb_n,Rb_mean,Rb_sd,Rb_min,Rb_max,Sr_n,Sr_mean,Sr_sd,Sr_min,Sr_max,Zr_n,Zr_mean,Zr_sd,Zr_min,Zr_max,Nb_n,Nb_mean,Nb_sd,Nb_min,Nb_max,Y_n,Y_mean,Y_sd,Y_min,Y_max,Fe_n,Fe_mean,Fe_sd,Fe_min,Fe_max,Mn_n,Mn_mean,Mn_sd,Mn_min,Mn_max,Zn_n,Zn_mean,Zn_sd,Zn_min,Zn_max,Ti_n,Ti_mean,Ti_sd,Ti_min,Ti_max,Ba_n,Ba_mean,Ba_sd,Ba_min,Ba_max,Th_n,Th_mean,Th_sd,Th_min,Th_max,Pb_n,Pb_mean,Pb_sd,Pb_min,Pb_max,Ga_n,Ga_mean,Ga_sd,Ga_min,Ga_max,La_n,La_mean,La_sd,La_min,La_max,Ce_n,Ce_mean,Ce_sd,Ce_min,Ce_max,Sm_n,Sm_mean,Sm_sd,Sm_min,Sm_max,Eu_n,Eu_mean,Eu_sd,Eu_min,Eu_max,Yb_n,Yb_mean,Yb_sd,Yb_min,Yb_max,Lu_n,Lu_mean,Lu_sd,Lu_min,Lu_max
Carpathian 1,1,pXRF/EDXRF,1,Milic 2014,1,163.5,,163.5,163.5,1,70.5,,70.5,70.5,1,68.0,,68.0,68.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpathian 2,0,ALL (combined),1,Milic 2014,1,174.5,,174.5,174.5,1,73.5,,73.5,73.5,1,129.0,,129.0,129.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpathian 2,1,pXRF/EDXRF,1,Milic 2014,1,174.5,,174.5,174.5,1,73.5,,73.5,73.5,1,129.0,,129.0,129.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhemenegaki,0,ALL (combined),83,Morgan 2015,83,109.8,5.24,95.0,123.0,83,117.25,5.89,105.0,130.0,83,114.59,5.46,101.0,125.0,83,8.67,1.07,6.0,12.0,83,17.8,1.66,13.0,22.0,83,12333.3,1016.02,9888.0,16106.0,83,510.17,68.92,341.0,661.0,83,42.33,8.5,26.0,69.0,83,600.06,208.23,342.0,1968.0,83,719.19,106.25,581.0,1585.0,83,10.28,1.48,7.0,13.0,83,23.6,2.05,19.0,31.0,83,15.54,0.85,14.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhemenegaki,1,pXRF/EDXRF,83,Morgan 2015,83,109.8,5.24,95.0,123.0,83,117.25,5.89,105.0,130.0,83,114.59,5.46,101.0,125.0,83,8.67,1.07,6.0,12.0,83,17.8,1.66,13.0,22.0,83,12333.3,1016.02,9888.0,16106.0,83,510.17,68.92,341.0,661.0,83,42.33,8.5,26.0,69.0,83,600.06,208.23,342.0,1968.0,83,719.19,106.25,581.0,1585.0,83,10.28,1.48,7.0,13.0,83,23.6,2.05,19.0,31.0,83,15.54,0.85,14.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGD,0,ALL (combined),126,Binder et al. 2011; Carter & Shackley 2007; Carter et al. 2006; Carter et al. 2017; Forster & Grave 2012; Frahm & Hauck 2017; Oddone et al. 1997; Rosenberg & Carter et al. 2022; Yellin & Perlman 1981; Yellin et al. 1996,124,188.9,12.88,165.0,245.0,124,15.58,6.86,5.6,54.0,124,78.13,8.35,58.99,121.0,122,23.86,3.5,12.0,36.0,110,22.2,2.48,13.0,29.0,60,7601.79,1491.51,5457.73,10925.0,48,475.67,76.83,362.0,735.0,32,32.25,7.03,20.0,44.0,50,889.72,296.35,306.0,1367.0,80,174.58,68.02,55.0,420.0,110,24.46,7.46,9.0,49.0,71,22.82,1.63,20.6,28.0,32,17.34,4.16,11.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGD,1,pXRF/EDXRF,63,Binder et al. 2011; Carter et al. 2006,63,182.1,7.05,170.0,200.0,63,12.37,6.07,5.6,54.0,63,76.57,6.64,61.0,121.0,63,24.65,1.11,21.0,27.0,63,22.05,1.4,17.0,24.6,0,,,,,0,,,,,0,,,,,8,376.62,106.42,306.0,623.0,63,152.29,54.79,55.0,420.0,63,20.63,1.65,16.0,25.0,55,22.06,0.6,20.6,23.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGD,2,ICP-MS/INAA,49,Carter & Shackley 2007; Carter et al. 2017; Forster & Grave 2012; Oddone et al. 1997; Rosenberg & Carter et al. 2022,49,197.27,15.06,165.0,245.0,49,20.01,6.21,6.6,32.0,49,83.55,6.08,73.0,96.0,47,23.7,5.11,12.0,36.0,47,22.4,3.44,13.0,29.0,48,8077.5,1278.74,5807.0,10925.0,48,475.67,76.83,362.0,735.0,32,32.25,7.03,20.0,44.0,42,987.45,204.63,390.0,1367.0,17,257.18,44.85,167.0,301.0,47,29.6,9.01,9.0,49.0,16,25.44,1.26,24.0,28.0,32,17.34,4.16,11.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGD,3,XRF (lab),12,Frahm & Hauck 2017,12,190.43,2.6,187.12,194.17,12,14.36,1.67,12.09,17.56,12,64.18,3.52,58.99,71.74,12,20.32,1.33,16.96,21.55,0,,,,,12,5698.95,88.99,5457.73,5777.62,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGD,4,NAA (REE),2,Yellin & Perlman 1981; Yellin et al. 1996,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2.0,98.7,0.0,98.7,98.7,2.0,77.6,0.0,77.6,77.6,2.0,21.3,0.0,21.3,21.3,2.0,3.04,0.0,3.04,3.04,2.0,15.7,0.0,15.7,15.7,2.0,14.9,0.0,14.9,14.9
