Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
227.0,0.0,1357.0,70.0,,973.0,0.0,,,,NemrutDag,kn-057,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,24436.0,537.0,212.0,34.0,,,,,,strong,4
205.0,0.0,1288.0,66.0,,809.0,0.0,,,,NemrutDag,kn-058,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20832.0,439.0,178.0,29.0,,,,,,strong,4
212.0,0.0,1270.0,66.0,,847.0,0.0,,,,NemrutDag,kn-060,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21459.0,475.0,188.0,30.0,,,,,,strong,4
223.0,0.0,1330.0,69.0,,881.0,0.0,,,,NemrutDag,kn-061,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22145.0,534.0,198.0,29.0,,,,,,strong,4
204.0,0.0,1264.0,62.0,,830.0,80.0,,,,NemrutDag,kn-062,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21038.0,566.0,187.0,30.0,,,,,,strong,4
200.0,0.0,1238.0,64.0,,862.0,143.0,,,,NemrutDag,kn-066,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,19997.0,622.0,175.0,32.0,,,,,,strong,4
207.0,0.0,1280.0,66.0,,879.0,0.0,,,,NemrutDag,kn-070,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21406.0,447.0,189.0,31.0,,,,,,strong,4
208.0,0.0,1242.0,66.0,,826.0,121.0,,,,NemrutDag,kn-074,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20735.0,641.0,191.0,34.0,,,,,,strong,4
199.0,0.0,1230.0,63.0,,837.0,0.0,,,,NemrutDag,kn-075,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20209.0,485.0,170.0,26.0,,,,,,strong,4
207.0,0.0,1250.0,64.0,,857.0,0.0,,,,NemrutDag,kn-078,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20727.0,480.0,183.0,28.0,,,,,,strong,4
